utctime;Produccion;Consigna;Tanto por 1;Error_code
2011-12-31 22:00;1.89795;69;0.0275065;C0
2011-12-31 23:00;11.7907;69;0.17088;C0
2012-01-01 00:00;13.9517;69;0.202199;C0
2012-01-01 01:00;10.0334;69;0.145412;C0
2012-01-01 02:00;6.17236;69;0.0894545;C0
2012-01-01 03:00;9.92296;69;0.143811;C0
2012-01-01 04:00;12.7642;69;0.184988;C0
2012-01-01 05:00;14.5441;69;0.210784;C0
2012-01-01 06:00;14.0038;69;0.202954;C0
2012-01-01 07:00;9.6459;69;0.139796;C0
2012-01-01 08:00;10.0841;69;0.146146;C0
2012-01-01 09:00;7.09598;69;0.10284;C0
2012-01-01 10:00;9.38261;69;0.13598;C0
2012-01-01 11:00;7.69933;69;0.111584;C0
2012-01-01 12:00;6.19683;69;0.0898091;C0
2012-01-01 13:00;4.05878;69;0.0588229;C0
2012-01-01 14:00;2.54601;69;0.0368987;C0
2012-01-01 15:00;6.2333;69;0.0903377;C0
2012-01-01 16:00;11.7994;69;0.171006;C0
2012-01-01 17:00;14.1584;69;0.205194;C0
2012-01-01 18:00;20.5889;69;0.29839;C0
2012-01-01 19:00;20.5499;69;0.297825;C0
2012-01-01 20:00;14.7325;69;0.213514;C0
2012-01-01 21:00;11.993;69;0.173812;C0
2012-01-01 22:00;8.10903;69;0.117522;C0
2012-01-01 23:00;9.30451;69;0.134848;C0
2012-01-02 00:00;10.2145;69;0.148036;C0
2012-01-02 01:00;8.48841;69;0.12302;C0
2012-01-02 02:00;7.93835;69;0.115049;C0
2012-01-02 03:00;9.76467;69;0.141517;C0
2012-01-02 04:00;9.83315;69;0.142509;C0
2012-01-02 05:00;13.5444;69;0.196296;C0
2012-01-02 06:00;11.4113;69;0.165381;C0
2012-01-02 07:00;9.75886;69;0.141433;C0
2012-01-02 08:00;9.40427;69;0.136294;C0
2012-01-02 09:00;7.78026;69;0.112757;C0
2012-01-02 10:00;6.07064;69;0.0879803;C0
2012-01-02 11:00;7.24911;69;0.10506;C0
2012-01-02 12:00;6.06454;69;0.0878919;C0
2012-01-02 13:00;2.19936;69;0.0318748;C0
2012-01-02 14:00;3.93339;69;0.0570057;C0
2012-01-02 15:00;6.04824;69;0.0876557;C0
2012-01-02 16:00;6.425;69;0.0931159;C0
2012-01-02 17:00;11.0935;69;0.160775;C0
2012-01-02 18:00;11.9949;69;0.173839;C0
2012-01-02 19:00;10.4096;69;0.150864;C0
2012-01-02 20:00;9.10166;69;0.131908;C0
2012-01-02 21:00;5.62265;69;0.0814877;C0
2012-01-02 22:00;4.40778;69;0.0638809;C0
2012-01-02 23:00;3.39141;69;0.0491509;C0
2012-01-03 00:00;1.88671;69;0.0273436;C0
2012-01-03 01:00;1.41165;69;0.0204587;C0
2012-01-03 02:00;3.71098;69;0.0537823;C0
2012-01-03 03:00;6.94062;69;0.100589;C0
2012-01-03 04:00;7.71226;69;0.111772;C0
2012-01-03 05:00;10.3562;69;0.15009;C0
2012-01-03 06:00;14.1235;69;0.204688;C0
2012-01-03 07:00;15.6765;69;0.227196;C0
2012-01-03 08:00;10.7647;69;0.15601;C0
2012-01-03 09:00;5.7436;69;0.0832406;C0
2012-01-03 10:00;3.87266;69;0.0561255;C0
2012-01-03 11:00;4.14255;69;0.060037;C0
2012-01-03 12:00;5.04336;69;0.0730922;C0
2012-01-03 13:00;5.86704;69;0.0850296;C0
2012-01-03 14:00;3.57429;69;0.0518013;C0
2012-01-03 15:00;0.727311;69;0.0105407;C0
2012-01-03 16:00;5.62623;69;0.0815396;C0
2012-01-03 17:00;5.2156;69;0.0755884;C0
2012-01-03 18:00;12.2859;69;0.178057;C0
2012-01-03 19:00;19.3693;69;0.280714;C0
2012-01-03 20:00;29.5715;69;0.428572;C0
2012-01-03 21:00;24.2685;69;0.351717;C0
2012-01-03 22:00;23.7944;69;0.344846;C0
2012-01-03 23:00;21.8203;69;0.316236;C0
2012-01-04 00:00;3.54728;69;0.0514099;C0
2012-01-04 01:00;0;69;0;E2
2012-01-04 02:00;0.603285;69;0.00874326;C0
2012-01-04 03:00;2.55264;69;0.0369948;C0
2012-01-04 04:00;2.83772;69;0.0411264;C0
2012-01-04 05:00;2.34521;69;0.0339886;C0
2012-01-04 06:00;3.39764;69;0.0492412;C0
2012-01-04 07:00;9.02449;69;0.13079;C0
2012-01-04 08:00;6.99808;69;0.101421;C0
2012-01-04 09:00;7.11431;69;0.103106;C0
2012-01-04 10:00;5.1104;69;0.0740638;C0
2012-01-04 11:00;6.86766;69;0.0995313;C0
2012-01-04 12:00;7.64768;69;0.110836;C0
2012-01-04 13:00;2.3381;69;0.0338855;C0
2012-01-04 14:00;0.74944;69;0.0108614;C0
2012-01-04 15:00;1.16945;69;0.0169486;C0
2012-01-04 16:00;0.017284;69;0.000250493;C0
2012-01-04 17:00;3.49972;69;0.0507206;C0
2012-01-04 18:00;6.91266;69;0.100183;C0
2012-01-04 19:00;10.676;69;0.154725;C0
2012-01-04 20:00;13.4781;69;0.195335;C0
2012-01-04 21:00;15.6494;69;0.226803;C0
2012-01-04 22:00;19.2257;69;0.278633;C0
2012-01-04 23:00;19.5313;69;0.283062;C0
2012-01-05 00:00;30.0811;69;0.435958;C0
2012-01-05 01:00;37.1758;69;0.53878;C0
2012-01-05 02:00;29.8094;69;0.43202;C0
2012-01-05 03:00;30.2411;69;0.438277;C0
2012-01-05 04:00;37.4673;69;0.543004;C0
2012-01-05 05:00;30.3047;69;0.439199;C0
2012-01-05 06:00;41.0256;69;0.594574;C0
2012-01-05 07:00;41.4359;69;0.60052;C0
